title,country_netflix,date_added_netflix,country_hulu,date_added_hulu,country_disney,date_added_disney,country_amazon,date_added_amazon,director,cast,release_year,rating,duration,listed_in,type
America's Next Top Model,United States,"November 15, 2020",United States,"May 15, 2017",,,,,,Tyra Banks,2013,TV-14,2 Seasons,Reality TV,TV Show
Polly Pocket,"Canada, United States, Ireland","November 15, 2020",,"December 23, 2018",,,,,,"Emily Tennant, Shannon Chan-Kent, Kazumi Evans, Patricia Drake, Rhona Rees, Ian Hanlin, Maryke Hendrikse, Vincent Tong, David Kaye, Ellen Kennedy",2021,TV-Y,2 Seasons,Kids' TV,TV Show
Survivor,United States,"November 15, 2020",United States,"March 4, 2018",,,,,,"Jeff Probst, Jerri Manthey, Colby Donaldson, Rupert Boneham, Parvati Shallow, Rob Mariano, Amanda Kimmel, James Clement, Amber Brkich, Alicia Calaway, Ethan Zohn, Tina Wesson",2014,TV-14,2 Seasons,Reality TV,TV Show
The Crown,"United Kingdom, United States","November 15, 2020",,"October 15, 2020",,,,,,"Claire Foy, John Lithgow, Matt Smith, Vanessa Kirby, Jared Harris, Victoria Hamilton, Eileen Atkins, Jeremy Northam, Alex Jennings, Ben Miles, Pip Torrens, Will Keen, Harry Hadden-Paton, Daniel Ings, Greg Wise, Harriet Walter, Lia Williams, Matthew Goode, Anton Lesser",2020,TV-MA,4 Seasons,"British TV Shows, International TV Shows, TV Dramas",TV Show
American Horror Story,United States,"November 13, 2020",United States,"August 26, 2021",,,,,,"Evan Peters, Sarah Paulson, Jessica Lange, Denis O'Hare, Kathy Bates, Angela Bassett, Lily Rabe, Frances Conroy, Cheyenne Jackson, Emma Roberts, Taissa Farmiga, Wes Bentley, Finn Wittrock, Chloë Sevigny, Zachary Quinto, Jamie Brewer, Naomi Grossman, Dylan McDermott, Gabourey Sidibe, Lady Gaga, Mare Winningham, Joseph Fiennes, Michael Chiklis, Matt Bomer, Lizzie Brocheré, Erika Ervin, Mat Fraser, Rose Siggins, Connie Britton, James Cromwell, Adina Porter, Jyoti Amge, Billie Lourde, Alison Pill, Billy Eichner, Leslie Grossman, Colton Haynes, Cuba Gooding Jr., André Holland, Danny Huston",2019,TV-MA,9 Seasons,"TV Horror, TV Mysteries, TV Thrillers",TV Show
Alone/Together,Philippines,"November 5, 2020",United States,"July 25, 2018",,,,,Antoinette Jadaone,"Liza Soberano, Enrique Gil, Adrian Alandy, Jasmine Curtis-Smith, Sylvia Sanchez, Nonie Buencamino, Xia Vigor, Richard Manabat",2019,TV-14,103 min,"Dramas, International Movies, Romantic Movies",Movie
60 Days In,United States,"November 1, 2020",United States,"February 15, 2021",,,,,,,2019,TV-MA,1 Season,Reality TV,TV Show
Dawson's Creek,United States,"November 1, 2020",United States,"March 1, 2016",,,,,,"James Van Der Beek, Katie Holmes, Michelle Williams, Joshua Jackson, Kerr Smith, Meredith Monroe, Busy Philipps, Mary Beth Peil",2002,TV-14,6 Seasons,"Romantic TV Shows, TV Dramas, Teen TV Shows",TV Show
Forged in Fire,United States,"November 1, 2020",United States,"June 15, 2021",,,,,,Wil Willis,2019,TV-14,1 Season,Reality TV,TV Show
Leah Remini: Scientology and the Aftermath,United States,"November 1, 2020",United States,"September 28, 2017",,,,,,"Leah Remini, Mike Rinder",2018,TV-14,3 Seasons,Docuseries,TV Show
Little Monsters,United States,"November 1, 2020","Australia, United States, United Kingdom","October 11, 2019",,,,,Richard Greenberg,"Fred Savage, Howie Mandel, Daniel Stern, Margaret Whitton, Rick Ducommun, Frank Whaley, Ben Savage, William Murray Weiss, Devin Ratray, Amber Barretto",1989,PG,102 min,"Children & Family Movies, Comedies",Movie
The 12th Man,Norway,"October 31, 2020",,"October 31, 2018",,,,,Harald Zwart,"Thomas Gullestad, Jonathan Rhys Meyers, Marie Blokhus, Mads Sjøgård Pettersen, Vegar Hoel, Håkon T. Nielsen, Eirik Risholm Velle, Daniel Frikstad, Eric Dirnes, Alexander Zwart",2018,TV-MA,130 min,"Action & Adventure, Dramas, International Movies",Movie
Hidden in Plain Sight,United States,"October 30, 2020",,"May 22, 2020",,,,,Stacia Crawford,"Victoria Barabas, Gino Anthony Pesi, Jake Allyn, Deborah Van Valkenburgh, Jessica Meraz, Jack Fisher, Eve Sigall, Jerod Meagher",2019,TV-14,87 min,"Dramas, Independent Movies, Thrillers",Movie
The Kite,"Lebanon, France","October 19, 2020",United States,"April 1, 2020",,,,,Randa Chahal Sabbag,"Flavia Bechara, Maher Bsaibes, Randa Asmar, Renée Dick, Julia Kassar, Liliane Nemri, Ziad Rahbani, Nayef Naji, Edmond Haddad, Alia Nemry",2003,TV-MA,76 min,"Dramas, International Movies, Romantic Movies",Movie
The Little Wars,"France, Lebanon","October 19, 2020",,"December 23, 2020",,,,,Maroun Baghdadi,"Soraya Khoury, Nabil Ismaïl, Roger Hawa, Reda Khoury, Youcef Hosni, Rifaat Tarabay",1982,TV-14,108 min,"Dramas, Independent Movies, International Movies",Movie
Unsolved Mysteries,,"October 19, 2020",,"October 24, 2019",,,,,,,2020,TV-MA,2 Seasons,"Crime TV Shows, Docuseries",TV Show
The Last Kids on Earth,United States,"October 16, 2020",United States,"October 2, 2017",,,,,,"Nick Wolfhard, Charles Demers, Garland Whitt, Montse Hernandez, Brian Drummond, Giles Panton, Keith David",2020,TV-Y7,3 Seasons,"Kids' TV, TV Comedies",TV Show
To the Lake,Russia,"October 7, 2020","United Kingdom, Australia, New Zealand, United States","September 11, 2017",,,,,Pavel Kostomarov,"Viktoriya Isakova, Kirill Käro, Aleksandr Robak, Natalya Zemtsova, Maryana Spivak, Yuri Kuznetsov, Eldar Kalimulin, Viktoriya Agalakova, Alexander Yatsenko, Saveliy Kudryashov",2020,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",TV Show
"Good Morning, Verônica",Brazil,"October 1, 2020",United States,"February 2, 2021",,,,,,"Tainá Müller, Eduardo Moscovis, Camila Morgado, Antonio Grassi, Elisa Volpatto, César Mello, Sílvio Guindane, Alice Valverde, DJ Amorim, Adriano Garib, Johnnas Oliva, Marina Provenzzano, José Rubens Chachá, Julia Ianina, Sacha Bali, Aline Borges, Cassio Pandolfi, Pally Siqueira, Juliana Lohmann",2020,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Mysteries",TV Show
Hunt for the Wilderpeople,New Zealand,"October 1, 2020",New Zealand,"December 24, 2016",,,,,Taika Waititi,"Sam Neill, Julian Dennison, Rima Te Wiata, Rachel House, Tioreore Ngatai-Melbourne, Oscar Kightley, Stan Walker, Mike Minogue, Cohen Holloway, Rhys Darby",2016,PG-13,101 min,"Action & Adventure, Comedies, Dramas",Movie
Sword Art Online,Japan,"October 1, 2020",Japan,"January 31, 2020",,,,,,"Yoshitsugu Matsuoka, Haruka Tomatsu, Ayana Taketatsu, Kanae Ito, Rina Hidaka, Ayahi Takagaki, Hiroaki Hirata, Hiroki Yasumoto, Saori Hayami, Koichi Yamadera",2018,TV-MA,3 Seasons,"Anime Series, International TV Shows",TV Show
The American Game,,"October 1, 2020",United States,"July 1, 2020",,,,,Mostafa Abu Seif,"Nahed El Sebaï, Ahmed Fahmi, Shaima Saif, Bayoumi Fouad, Entsar",2019,TV-PG,91 min,"Comedies, International Movies, Romantic Movies",Movie
Black Butler,Japan,"September 30, 2020",Japan,"July 10, 2020",,,,,,"Daisuke Ono, Maaya Sakamoto, Hiroki Touchi, Yuki Kaji, Emiri Kato, Koji Yusa, Shunji Fujimura, Yukari Tamura, Romi Park, Jun Fukuyama",2010,TV-MA,3 Seasons,"Anime Series, International TV Shows",TV Show
Bully,United States,"September 29, 2020",United States,"July 30, 2020",,,,,Lee Hirsch,,2012,PG-13,98 min,Documentaries,Movie
The Chef Show,United States,"September 24, 2020",,"June 26, 2021",,,,,,"Jon Favreau, Roy Choi",2020,TV-MA,4 Seasons,Docuseries,TV Show
The Last Word,Germany,"September 17, 2020",United States,"July 2, 2019",,,,,,"Anke Engelke, Thorsten Merten, Nina Gummich, Johannes Zeiler, Juri Winkler, Gudrun Ritter, Aaron Hilmer, Claudia Geisler-Bading",2020,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",TV Show
Signs,Poland,"September 16, 2020",,"October 1, 2021",,,,,,"Andrzej Konopka, Helena Sujecka, Piotr Trojan, Michał Czernecki, Mariusz Ostrowski, Robert Gulaczyk, Mirosław Kropielnicki, Helena Englert, Paulina Gałązka, Magdalena Źak",2020,TV-MA,2 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",TV Show
The Take,"United Kingdom, France, United States, Belgium, Luxembourg, China, Germany","September 16, 2020","Italy, United States","May 25, 2020",,,,,James Watkins,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly, José Garcia, Vincent Londez, Arieh Worthalter, Mohamed Makhtoumi, Théo Costa-Marini, Jérôme Gaspard",2016,R,92 min,"Action & Adventure, International Movies",Movie
How to Train Your Dragon 2,United States,"September 11, 2020",United States,"December 5, 2019",,,,,Dean DeBlois,"Jay Baruchel, Cate Blanchett, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill, Christopher Mintz-Plasse, T.J. Miller, Kristen Wiig, Djimon Hounsou, Kit Harington",2014,PG,102 min,Children & Family Movies,Movie
#Alive,South Korea,"September 8, 2020",,"February 9, 2020",,,,,Cho Il,"Yoo Ah-in, Park Shin-hye",2020,TV-MA,99 min,"Horror Movies, International Movies, Thrillers",Movie
Blue Exorcist,Japan,"September 1, 2020",Japan,"January 31, 2020",,,,,,"Nobuhiko Okamoto, Jun Fukuyama, Kana Hanazawa, Kazuya Nakai, Koji Yusa, Yuki Kaji, Eri Kitamura, Ayahi Takagaki, Rina Satou, Daisuke Ono, Ryotaro Okiayu, Tetsuya Kakihara, Hiroshi Kamiya, Keiji Fujiwara, Hiroaki Hirata, Jin Urayama, Katsuyuki Konishi, Kisho Taniyama, M・A・O, Kazuhiro Yamaji, Hideyuki Tanaka, Masaki Terasoma, Naomi Shindo",2017,TV-MA,2 Seasons,"Anime Series, International TV Shows",TV Show
Children of the Sea,"Japan, United States","September 1, 2020",United States,"December 31, 2016",,,,,Ayumu Watanabe,"Mana Ashida, Hiiro Ishibashi, Seishu Uragami, Win Morisaki, Goro Inagaki, Yu Aoi, Toru Watanabe, Min Tanaka, Sumiko Fuji",2019,TV-PG,112 min,"Anime Features, International Movies",Movie
Erased,Japan,"September 1, 2020",Japan,"January 31, 2020",,,,,,"Tao Tsuchiya, Shinnosuke Mitsushima, Aoi Yuki, Chinatsu Akasaki, Yo Taichi, Akari Kito, Ayaka Nanase, Yukitoshi Kikuchi, Takahiro Mizushima, Minami Takayama, Mitsuru Miyamoto",2016,TV-14,1 Season,"Anime Series, International TV Shows, TV Thrillers",TV Show
"Sister, Sister",United States,"September 1, 2020",United States,"February 9, 2021",,,,,,"Tia Mowry-Hardrict, Jackée Harry, Tamera Mowry-Housley, Tim Reid, Marques Houston, RonReaco Lee, Deon Richmond",1998,TV-PG,6 Seasons,"TV Comedies, Teen TV Shows",TV Show
The Promised Neverland,Japan,"September 1, 2020",Japan,"January 6, 2021",,,,,,"Sumire Morohoshi, Maaya Uchida, Mariya Ise, Yuhko Kaida, Nao Fujita, Shinei Ueki, Lynn, Hiyori Kono, Shizuka Ishigami, Ai Kayano, Mari Hino, Yuko Mori, Ari Ozawa",2019,TV-14,1 Season,"Anime Series, International TV Shows, TV Thrillers",TV Show
Baewatch: Parental Guidance,,"August 22, 2020",,"May 25, 2021",,,,,,,2019,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows",TV Show
Christine,"United Kingdom, United States","August 13, 2020","United Kingdom, United States","May 1, 2020",,,,,Antonio Campos,"Rebecca Hall, Michael C. Hall, Tracy Letts, Maria Dizzia, J. Smith-Cameron, Timothy Simons, Kim Shaw, John Cullum, Morgan Spector, Jayson Warner Smith",2016,R,119 min,"Dramas, Independent Movies",Movie
The Rain,"Denmark, United States","August 6, 2020",United States,"October 1, 2021",,,,,,"Alba August, Lucas Lynggaard Tønnesen, Mikkel Boe Følsgaard, Lukas Løkken, Jessica Dinnage, Sonny Lindberg, Angela Bundalovic, Lars Simonsen",2020,TV-MA,3 Seasons,"International TV Shows, TV Dramas, TV Mysteries",TV Show
Moesha,United States,"August 1, 2020",United States,"February 9, 2021",,,,,,"Brandy Norwood, William Allen Young, Sheryl Lee Ralph, Countess Vaughn, Lamont Bentley, Shar Jackson, Marcus T. Paulk, Yvette Wilson",2000,TV-PG,6 Seasons,"TV Comedies, Teen TV Shows",TV Show
My Perfect Landing,Canada,"August 1, 2020",,"May 15, 2021",,,,,,"Morgan Wigle, Tom Hulshof, Helena Marie, Shawn Thompson, Natasha Zaborski, Ajanae Stephenson, Francesca Van Keekan, Jordan Clark",2020,TV-G,1 Season,Kids' TV,TV Show
The Hater,Poland,"July 29, 2020",,"August 1, 2021",,,,,Jan Komasa,"Maciej Musiałowski, Agata Kulesza, Danuta Stenka, Vanessa Aleksander, Maciej Stuhr, Jacek Koman, Adam Gradowski, Piotr Biedron, Martynika Kosnica",2020,TV-MA,136 min,"Dramas, International Movies, Thrillers",Movie
Shameless (U.S.),United States,"July 26, 2020",United Kingdom,"June 16, 2013",,,,,,"William H. Macy, Emmy Rossum, Justin Chatwin, Cameron Monaghan, Jeremy Allen White, Shanola Hampton, Steve Howey, Ethan Cutkosky, Emma Kenney, Laura Wiggins, Joan Cusack",2019,TV-MA,10 Seasons,"TV Comedies, TV Dramas",TV Show
Killer Women with Piers Morgan,United Kingdom,"July 19, 2020",,"June 8, 2021",,,,,,Piers Morgan,2017,TV-MA,1 Season,"British TV Shows, Crime TV Shows, Docuseries",TV Show
The Players,Italy,"July 15, 2020",United States,"June 5, 2020",,,,,Stefano Mordini,"Valerio Mastandrea, Riccardo Scamarcio, Laura Chiatti, Valentina Cervi, Marina Foïs, Euridice Axen, Massimiliano Gallo, Alessia Giuliani",2020,TV-MA,89 min,"Comedies, International Movies",Movie
Dr. Seuss' The Lorax,"United States, France","July 7, 2020",United States,"April 18, 2014",,,,,"Chris Renaud, Kyle Balda","Danny DeVito, Ed Helms, Taylor Swift, Zac Efron, Betty White, Rob Riggle, Jenny Slate, Nasim Pedrad, Joel Swetow, Michael Beattie, Stephen Tobolowsky",2012,PG,86 min,Children & Family Movies,Movie
Blood Money,India,"July 5, 2020",,"March 26, 2021",,,,,Vishal Mahadkar,"Manish Chaudhary, Kunal Kemmu, Amrita Puri, Shekar Shukla, Teeshay, Mia Evonne Uyeda",2012,TV-14,110 min,"Dramas, International Movies, Romantic Movies",Movie
Players,India,"July 5, 2020","Japan, United States","March 18, 2011",,,,,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Vinod Khanna, Abhishek Bachchan, Bobby Deol, Sonam Kapoor, Bipasha Basu, Neil Nitin Mukesh, Sikander Kher, Omi Vaidya, Johny Lever, Shweta Bhardwaj",2012,TV-14,162 min,"Action & Adventure, International Movies",Movie
Queen,India,"July 5, 2020",,"October 20, 2021",,,,,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon, Mish Boyko, Jeffrey Chee Eng Ho, Marco Canadea, Sabeeka Imam, Yogendra Tikku",2014,TV-MA,138 min,"Comedies, Dramas, International Movies",Movie
Special 26,India,"July 5, 2020",Japan,"January 15, 2016",,,,,Neeraj Pandey,"Akshay Kumar, Manoj Bajpayee, Anupam Kher, Jimmy Shergill, Kajal Aggarwal, Divya Dutta, Kharaj Mukherjee, Rajesh Sharma, Kishore Kadam, Neeru Bajwa, Deep Raj Rana, Neetu Singh",2013,TV-PG,137 min,"Dramas, International Movies, Thrillers",Movie
I Am Not Your Negro,"Switzerland, France, Belgium, United States","July 3, 2020","Switzerland, France, Belgium, United States","July 3, 2020",,,,,Raoul Peck,"Samuel L. Jackson, Joey Starr",2017,PG-13,94 min,Documentaries,Movie
The Baby-Sitters Club,United States,"July 3, 2020",,"August 1, 2021",,,,,,"Sophie Grace, Momona Tamada, Shay Rudolph, Malia Baker, Xochitl Gomez, Alicia Silverstone, Mark Feuerstein, Marc Evan Jackson, Aya Furukawa, Jessica Elaina Eason",2020,TV-G,1 Season,"Kids' TV, TV Dramas",TV Show
Supermarket Sweep,United States,"July 2, 2020",,"October 19, 2020",,,,,,,1993,TV-G,1 Season,Reality TV,TV Show
Stardust,"United Kingdom, United States","July 1, 2020",,"February 24, 2021",,,,,Matthew Vaughn,"Claire Danes, Michelle Pfeiffer, Robert De Niro, Charlie Cox, Sienna Miller, Ricky Gervais, Jason Flemyng, Rupert Everett, Peter O'Toole, Mark Strong, Kate Magowan, Ian McKellen",2007,PG-13,128 min,"Action & Adventure, International Movies, Romantic Movies",Movie
Total Recall,"United States, Mexico","July 1, 2020",,"October 1, 2021",,,,,Paul Verhoeven,"Arnold Schwarzenegger, Rachel Ticotin, Sharon Stone, Michael Ironside, Ronny Cox, Marshall Bell, Michael Champion, Mel Johnson Jr., Roy Brocksmith, Rosemary Dunsmore",1990,R,114 min,"Action & Adventure, Sci-Fi & Fantasy",Movie
Feel the Beat,United States,"June 19, 2020",United States,"October 31, 2016",,,,,Elissa Down,"Sofia Carson, Wolfgang Novogratz, Donna Lynne Champlin, Eva Hauge, Rex Lee, Brandon Kyle Goodman, Lidya Jewett, Sadie Lapidus, Johanna Colón, Shaylee Mansfield, Shiloh Nelson, Justin Allan, Carina Battrick, Kai Zen, Marissa Jaret Winokur, Enrico Colantoni, Dennis Andres",2020,TV-G,110 min,"Children & Family Movies, Comedies, Dramas",Movie
The Chase,United States,"June 15, 2020",United States,"June 7, 2021",,,,,,"Brooke Burns, Mark Labbett",2015,TV-PG,2 Seasons,Reality TV,TV Show
Alone,,"June 2, 2020",United States,"June 15, 2021",,,,,,,2019,TV-14,1 Season,Reality TV,TV Show
Megalobox,Japan,"June 1, 2020",,"April 4, 2021",,,,,,"Yoshimasa Hosoya, Shiro Saito, Hiroki Yasumoto, Nanako Mori, Michiyo Murase, Hiroyuki Kinoshita",2018,TV-MA,1 Season,"Anime Series, International TV Shows",TV Show
Revolutionary Love,South Korea,"June 1, 2020",,"June 1, 2021",,,,,,"Choi Si-won, Kang So-ra, Gong Myoung",2017,TV-MA,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV Show
The Stolen,"United Kingdom, Germany, United Arab Emirates, New Zealand","June 1, 2020",United States,"August 29, 2019",,,,,Niall Johnson,"Alice Eve, Jack Davenport, Graham McTavish, Stan Walker, Richard O'Brien, Cohen Holloway, Stig Eldred, Emily Corcoran, Gillian MacGregor, Mikaela Ruegg",2016,TV-14,98 min,Dramas,Movie
The Other,"France, Egypt","May 29, 2020",Australia,"February 14, 2020",,,,,Youssef Chahine,"Nabila Ebeid, Mahmoud Hemeida, Hanan Turk, Hani Salama, Lebleba, Hassan Abdel Hamid, Ezzat Abou Aouf, Ahmed Fouad Selim, Amr Saad, Ahmad Wafiq",1999,TV-MA,106 min,"Dramas, International Movies, Romantic Movies",Movie
Boys Over Flowers,South Korea,"May 16, 2020",South Korea,,,,,,,"Ku Hye-sun, Lee Min-ho, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun, Lee Hye-yeong, Park Ji-bin, Lim Ye-jin, Jeong Ho-bin",2009,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows",TV Show
Parasyte: The Maxim,Japan,"May 15, 2020",Japan,"March 6, 2015",,,,,,"Nobunaga Shimazaki, Aya Hirano, Kana Hanazawa, Kiyono Yasuno, Rena Maeda, Miyuki Sawashiro, Hiroyuki Yoshino, Atsuko Tanaka",2014,TV-MA,1 Season,"Anime Series, International TV Shows, TV Horror",TV Show
She-Ra and the Princesses of Power,United States,"May 15, 2020",,"March 29, 2019",,,,,,"Aimee Carrero, AJ Michalka, Marcus Scribner, Karen Fukuhara, Reshma Shetty, Lorraine Toussaint, Keston John, Lauren Ash, Christine Woods, Morla Gorrondona, Antony Del Rio, Dana Davis, Grey Griffin, Genesis Rodriguez, Jordan Fisher, Vella Lovell, Merit Leighton, Sandra Oh, Krystal Joy Brown",2020,TV-Y7,5 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",TV Show
The Wrong Missy,United States,"May 13, 2020",United Kingdom,"December 24, 2014",,,,,Tyler Spindel,"David Spade, Lauren Lapkus, Nick Swardson, Geoff Pierson, Jackie Sandler, Sarah Chalke, Rob Schneider, Chris Witaske, Joe Anoa'i, Molly Sims",2020,TV-MA,90 min,"Comedies, Romantic Movies",Movie
Bordertown,"Finland, France","May 11, 2020",,"July 11, 2017",,,,,,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Kristiina Halttu, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid",2019,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas",TV Show
In Paradox,Kuwait,"May 7, 2020",United Kingdom,"November 29, 2013",,,,,Hamad AlSarraf,"Faisal Al Omairi, Jafra Younes, Samr Ismaiel, Ghanim Alzerlli, Jaber Jokhadar, Nawar Youssef, Jassim Al Nabhan, Fayez Kazak, Nancy Khoury, Jamal Hamdan",2019,TV-14,94 min,"International Movies, Sci-Fi & Fantasy, Thrillers",Movie
Becoming,United States,"May 6, 2020",,"March 12, 2018",,,,,Nadia Hallgren,Michelle Obama,2020,PG,89 min,Documentaries,Movie
Hoarders,,"May 2, 2020",United States,"October 15, 2021",,,,,,,2020,TV-PG,1 Season,Reality TV,TV Show
El señor de los Cielos,"United States, Mexico, Colombia","April 30, 2020",,"May 10, 2018",,,,,,"Rafael Amaya, Ximena Herrera, Robinson Díaz, Raúl Méndez, Gabriel Porras, Carmen Villalobos, Mauricio Ochmann, Fernanda Castillo, Marlene Favela, Carmen Aub, Maritza Rodríguez",2019,TV-MA,7 Seasons,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",TV Show
The Artist,"France, Belgium, United States","April 25, 2020",,"July 26, 2021",,,,,Michel Hazanavicius,"Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell, Penelope Ann Miller, Missi Pyle, Beth Grant, Ed Lauter, Joel Murray, Elizabeth Tulloch, Ken Davitian, Malcolm McDowell",2011,PG-13,101 min,"Comedies, Dramas, Independent Movies",Movie
Bleach,Japan,"April 21, 2020",Japan,"April 1, 2014",,,,,,"Masakazu Morita, Fumiko Orikasa, Yuki Matsuoka, Noriaki Sugiyama, Hiroki Yasumoto, Kentaro Ito, Ryotaro Okiayu",2006,TV-14,5 Seasons,"Anime Series, International TV Shows",TV Show
